N,Name,Current Price,Change,Change Rate,Volume,Trading Value,Market Cap,Shares,Foreign Ratio,PER,ROE,토론
1727,ACE 미국IT인터넷S&P(합성 H),"15,900",하락210,-1.30%,0,127,800,0.00,1,N/A,N/A,
1728,TIGER 글로벌자원생산기업(합성 H),"14,960",하락145,-0.96%,0,127,850,0.00,21,N/A,N/A,
1729,메리츠 인버스 2X 국채30년 ETN,"12,705",상승80,+0.63%,0,127,"1,000",0.00,157,N/A,N/A,
1730,KOSEF 미국블록버스터바이오테크의약품+,"10,570",상승20,+0.19%,0,127,"1,200",0.00,528,N/A,N/A,
1731,신한 레버리지 Russell 2000 ETN,"12,660",하락190,-1.48%,0,127,"1,000",0.00,223,N/A,N/A,
1732,HANARO KOFR금리액티브(합성),"105,390",보합0,0.00%,0,126,120,0.00,938,N/A,N/A,
1733,N2 S&P500 버퍼10% 12월 ETN(H),"12,645",보합0,0.00%,0,126,"1,000",0.00,0,N/A,N/A,
1734,한투 은 선물 ETN,"12,635",보합0,0.00%,0,126,"1,000",0.00,0,N/A,N/A,
1735,ITF 200,"36,060",하락520,-1.42%,0,126,350,0.00,44,N/A,N/A,
1736,메리츠 블룸버그 레버리지 WTI선물 ETN(H),"12,600",하락335,-2.59%,0,126,"1,000",0.00,27,N/A,N/A,
1737,신한 인버스 2X 구리 선물 ETN,"2,520",상승45,+1.82%,0,126,"5,000",0.00,"1,541",N/A,N/A,
1738,메리츠 인버스 미국채10년 ETN(H),"12,590",보합0,0.00%,0,126,"1,000",0.00,0,N/A,N/A,
1739,메리츠 블룸버그 인버스 2X WTI선물 ETN(H),"12,580",상승345,+2.82%,0,126,"1,000",0.00,167,N/A,N/A,
1740,N2 S&P500 버퍼10% 6월 ETN(H),"12,560",보합0,0.00%,0,126,"1,000",0.00,0,N/A,N/A,
1741,KB S&P 레버리지 WTI원유 선물 ETN(H),"12,560",하락360,-2.79%,0,126,"1,000",0.00,"2,637",N/A,N/A,
1742,신한 달러인덱스 선물 ETN(H),"12,485",보합0,0.00%,0,125,"1,000",0.00,0,N/A,N/A,
1743,한투 일본종합상사TOP5 ETN,"12,460",상승125,+1.01%,0,125,"1,000",0.00,61,N/A,N/A,
1744,N2 S&P500 버퍼10% 3월 ETN(H),"12,450",보합0,0.00%,0,124,"1,000",0.00,0,N/A,N/A,
1745,메리츠 인버스 미국채30년 ETN(H),"12,445",보합0,0.00%,0,124,"1,000",0.00,0,N/A,N/A,
1746,TIGER MSCI KOREA ESG리더스,"8,945",보합0,0.00%,0,123,"1,380",0.00,0,N/A,N/A,
1747,KODEX 구리선물(H),"7,250",상승10,+0.14%,0,123,"1,700",0.00,"3,548",N/A,N/A,
1748,PLUS 미국테크TOP10,"14,435",하락405,-2.73%,0,123,850,0.00,"8,837",N/A,N/A,
1749,HANARO 200 TOP10,"8,445",하락20,-0.24%,0,122,"1,450",0.00,200,N/A,N/A,
