N,Name,Current Price,Change,Change Rate,Volume,Trading Value,Market Cap,Shares,Foreign Ratio,PER,ROE,토론
475,신성이엔지,"1,678",하락25,-1.47%,500,"3,454","205,848",4.14,"152,572",-119.86,7.15,
476,대원제약,"15,270",상승400,+2.69%,500,"3,425","22,428",14.99,"367,516",22.96,9.25,
477,이리츠코크렙,"5,350",상승10,+0.19%,500,"3,389","63,342",1.21,"5,454",18.20,4.16,
478,RISE 미국30년국채엔화노출(합성 H),"9,550",하락35,-0.37%,0,"3,362","35,200",0.10,"120,097",N/A,N/A,
479,BGF,"3,510",하락5,-0.14%,"1,000","3,360","95,717",2.11,"7,193",5.22,4.81,
480,세아제강,"117,600","하락1,000",-0.84%,"5,000","3,335","2,836",7.31,741,2.53,20.68,
481,KODEX 코스닥150선물인버스,"3,755",상승30,+0.81%,0,"3,327","88,600",4.88,"14,169,164",N/A,N/A,
482,1Q 머니마켓액티브,"50,900",상승15,+0.03%,0,"3,319","6,520",0.00,"4,883",N/A,N/A,
483,LG생활건강우,"155,800","하락1,200",-0.76%,"5,000","3,271","2,100",51.03,503,16.33,N/A,
484,남해화학,"6,580",하락40,-0.60%,"1,000","3,269","49,679",3.55,"17,808",10.75,2.34,
485,ACE KRX금현물,"15,460",하락5,-0.03%,0,"3,262","21,100",0.04,"37,082",N/A,N/A,
486,GS글로벌,"3,880",상승60,+1.57%,"2,500","3,202","82,534",2.82,"1,651,295",7.71,6.78,
487,KODEX 미국30년국채울트라선물(H),"8,400",하락15,-0.18%,0,"3,200","38,100",0.01,"214,655",N/A,N/A,
488,화신,"9,160",하락40,-0.43%,500,"3,199","34,920",3.79,"97,935",4.76,19.27,
489,미래에셋 레버리지 원유선물혼합 ETN(H),"7,800",하락220,-2.74%,0,"3,198","41,000",0.00,"1,395",N/A,N/A,
490,TIGER 중장기국채,"51,705",보합0,0.00%,0,"3,195","6,180",0.01,"3,524",N/A,N/A,
491,KODEX 미국S&P500(H),"13,025",하락145,-1.10%,0,"3,172","24,350",0.20,"66,752",N/A,N/A,
492,수산인더스트리,"22,150",하락250,-1.12%,200,"3,164","14,286",1.69,"12,016",6.47,10.21,
493,한투 KIS CD금리투자 ETN,"52,645",보합0,0.00%,0,"3,159","6,000",0.00,0,N/A,N/A,
494,신성통상,"2,195",하락20,-0.90%,500,"3,154","143,708",0.28,"59,069",5.19,21.69,
495,광동제약,"5,970",하락60,-1.00%,"1,000","3,130","52,421",18.27,"31,623",9.24,6.96,
496,KODEX 미국달러SOFR금리액티브(합성),"11,055",하락15,-0.14%,0,"3,111","28,140",0.01,"2,472",N/A,N/A,
497,KODEX 미국30년국채+12%프리미엄(합성 H),"10,535",하락25,-0.24%,0,"3,103","29,450",0.07,"193,637",N/A,N/A,
498,대상홀딩스,"8,550",하락170,-1.95%,"1,000","3,096","36,213",4.99,"33,829",97.16,2.85,
499,농심홀딩스,"66,600",하락100,-0.15%,"5,000","3,089","4,638",3.07,323,3.43,6.11,
500,두산우,"77,000","하락1,200",-1.53%,"5,000","3,077","3,996",8.10,"5,088",-6.50,N/A,
501,사조산업,"61,300",하락100,-0.16%,"5,000","3,065","5,000",3.76,"4,909",10.53,3.69,
502,HD현대에너지솔루션,"27,250",상승350,+1.30%,"5,000","3,052","11,200",2.93,"57,604",-14.37,-0.76,
503,한국금융지주우,"51,500",상승700,+1.38%,"5,000","3,017","5,858",16.65,"1,260",4.25,N/A,
504,TIGER 일본니케이225,"21,180",하락135,-0.63%,0,"3,016","14,240",0.25,"10,660",N/A,N/A,
505,ACE 테슬라밸류체인액티브,"10,115",하락325,-3.11%,0,"3,014","29,800",0.04,"137,450",N/A,N/A,
506,한국화장품제조,"66,200","하락1,000",-1.49%,500,"3,000","4,532",1.94,"21,299",22.05,14.58,
507,국도화학,"33,200",하락250,-0.75%,"5,000","2,992","9,011",18.18,"2,235",-93.26,0.92,
508,SOL AI반도체소부장,"12,025",하락615,-4.87%,0,"2,982","24,800",0.63,"138,554",N/A,N/A,
509,KISCO홀딩스,"18,320",하락150,-0.81%,"1,000","2,964","16,176",5.68,"2,654",5.34,8.38,
510,전진건설로봇,"19,240",하락30,-0.16%,500,"2,955","15,361",0.70,"193,920",10.21,29.35,
511,한화갤러리아,"1,505",하락3,-0.20%,500,"2,918","193,860",7.08,"737,531",-11.32,N/A,
512,제주은행,"9,080",하락40,-0.44%,"5,000","2,917","32,129",0.85,"20,736",47.54,0.97,
513,RISE 단기국공채액티브,"110,245",상승20,+0.02%,0,"2,907","2,637",0.00,167,N/A,N/A,
514,KODEX 미국AI테크TOP10+15%프리미엄,"9,610",하락275,-2.78%,0,"2,902","30,200",0.05,"280,471",N/A,N/A,
515,한진,"19,380",하락220,-1.12%,"5,000","2,897","14,948",6.01,"1,883",11.39,1.86,
516,SBS,"15,610",상승30,+0.19%,"5,000","2,896","18,551",0.00,"5,341",7.69,5.45,
517,PLUS 국고채30년액티브,"109,165",하락235,-0.21%,0,"2,895","2,652",0.00,2,N/A,N/A,
518,KG케미칼,"4,210",하락40,-0.94%,"1,000","2,883","68,469",5.92,"33,789",3.68,11.06,
519,아이마켓코리아,"8,620",하락10,-0.12%,500,"2,882","33,429",5.89,"9,478",12.35,4.31,
520,TIGER 미국S&P500TR(H),"13,430",하락130,-0.96%,0,"2,867","21,350",0.13,"20,870",N/A,N/A,
521,종근당홀딩스,"57,100",하락400,-0.70%,"2,500","2,861","5,010",5.70,"1,889",5.94,8.61,
522,KODEX ESG종합채권(A-이상)액티브,"111,255",보합0,0.00%,0,"2,841","2,554",0.00,0,N/A,N/A,
523,에어부산,"2,435",하락10,-0.41%,"1,000","2,840","116,640",0.88,"20,141",3.42,66.45,
524,모토닉,"8,590",하락60,-0.69%,500,"2,835","33,000",8.84,"4,073",9.14,6.26,
525,부국증권,"27,200",상승50,+0.18%,"5,000","2,821","10,370",1.31,886,6.85,7.89,
526,삼화전기,"42,550","하락3,800",-8.20%,"1,000","2,814","6,614",26.24,"88,042",21.51,7.92,
527,한일현대시멘트,"14,450",하락90,-0.62%,"5,000","2,793","19,328",0.33,"1,996",5.67,9.29,
528,백산,"12,970",하락150,-1.14%,500,"2,789","21,500",10.14,"13,838",5.46,21.47,
529,삼양패키징,"17,620",하락80,-0.45%,"5,000","2,782","15,789",6.28,"1,024",10.21,6.92,
530,한국토지신탁,"1,098",하락2,-0.18%,"1,000","2,772","252,489",4.83,"116,414",-27.45,-0.84,
531,현대차증권,"8,730",하락10,-0.11%,"5,000","2,768","31,713",3.29,"2,525",7.60,4.28,
532,KODEX 미국나스닥100(H),"15,155",하락315,-2.04%,0,"2,751","18,150",0.01,"137,588",N/A,N/A,
533,한농화성,"17,580",상승320,+1.85%,500,"2,749","15,637",2.29,"490,368",-214.39,7.87,
534,송원산업,"11,450",하락20,-0.17%,500,"2,748","24,000",15.68,"1,707",9.32,5.02,
535,TIGER 헬스케어,"38,780",상승80,+0.21%,0,"2,730","7,040",0.21,"104,005",N/A,N/A,
536,PLUS 머니마켓액티브,"50,860",상승10,+0.02%,0,"2,728","5,364",0.04,2,N/A,N/A,
537,CR홀딩스,"5,810",하락50,-0.85%,500,"2,724","46,890",1.26,"1,706",-187.42,0.06,
538,KODEX 국고채10년액티브,"110,140",하락35,-0.03%,0,"2,720","2,470",0.00,"2,754",N/A,N/A,
539,대한제강,"11,600",하락200,-1.69%,"1,000","2,716","23,414",6.21,"1,066",4.68,9.88,
540,대원강업,"4,360",하락25,-0.57%,500,"2,703","62,000",2.10,"24,085",15.03,6.17,
541,서울가스,"54,000",하락200,-0.37%,"5,000","2,700","5,000",2.00,750,12.24,1.91,
542,TIGER 은행고배당플러스TOP10,"14,400",상승170,+1.19%,0,"2,700","18,750",1.32,"211,958",N/A,N/A,
543,대한제당,"3,010",보합0,0.00%,500,"2,700","89,697",2.03,"17,963",10.34,5.97,
544,일양약품,"14,140",하락180,-1.26%,"2,500","2,699","19,086",7.07,"10,383",487.59,-1.10,
545,예스코홀딩스,"44,850",상승50,+0.11%,"5,000","2,691","6,000",9.65,920,50.17,4.99,
546,ACE 베트남VN30(합성),"20,145",하락75,-0.37%,0,"2,679","13,300",0.08,"7,227",N/A,N/A,
547,세방,"13,850",상승50,+0.36%,500,"2,674","19,309",10.87,"30,855",3.18,6.78,
548,삼성 인버스 2X 코스닥150 선물 ETN,"6,685",상승120,+1.83%,0,"2,674","40,000",0.00,"1,614,865",N/A,N/A,
549,LS네트웍스,"3,370",하락15,-0.44%,"5,000","2,656","78,803",0.38,"58,677",-51.85,1.92,
550,이지스밸류리츠,"5,150",하락60,-1.15%,"1,000","2,649","51,443",1.56,"67,186",4.47,7.99,
551,TIGER 글로벌자율주행&전기차SOLACTIVE,"9,755",하락185,-1.86%,0,"2,646","27,120",0.34,"3,704",N/A,N/A,
552,잇츠한불,"12,050",하락150,-1.23%,500,"2,642","21,929",0.62,"1,008",20.53,0.92,
553,가온전선,"35,550",하락900,-2.47%,"5,000","2,616","7,358",5.33,"13,612",14.27,5.65,
554,콜마홀딩스,"7,620",하락90,-1.17%,500,"2,613","34,296",17.97,"19,732",-293.08,-0.61,
555,코리아써키트,"11,000",하락190,-1.70%,500,"2,598","23,621",1.99,"19,002",-9.38,-8.05,
556,케이씨,"19,150",하락520,-2.64%,500,"2,596","13,554",9.84,"8,309",7.16,6.44,
557,SIMPAC,"3,960",하락10,-0.25%,500,"2,591","65,430",3.17,"9,123",-67.12,-1.09,
558,KODEX 단기변동금리부채권액티브,"111,680",보합0,0.00%,0,"2,584","2,314",0.00,0,N/A,N/A,
559,삼진제약,"18,560",하락100,-0.54%,"1,000","2,580","13,900",1.63,"1,912",6.72,6.99,
560,대성에너지,"9,370",상승100,+1.08%,"1,000","2,577","27,500",0.00,"106,654",16.02,4.72,
561,SNT에너지,"12,440",하락370,-2.89%,500,"2,573","20,681",0.18,"35,205",11.02,8.49,
562,JW홀딩스,"3,465",하락20,-0.57%,500,"2,561","73,925",1.88,"31,089",4.44,16.48,
563,이연제약,"13,770",하락140,-1.01%,500,"2,559","18,587",0.85,"3,004","-2,295.00",1.44,
564,동국홀딩스,"8,010",하락40,-0.50%,"5,000","2,547","31,800",11.21,"7,167",0.32,9.45,
565,현대코퍼레이션,"19,250",하락70,-0.36%,"5,000","2,547","13,229",7.81,"4,441",2.61,16.57,
566,TIGER 반도체,"35,670","하락1,455",-3.92%,0,"2,533","7,100",0.33,"56,592",N/A,N/A,
567,넥센,"4,715",상승5,+0.11%,500,"2,525","53,544",1.94,"6,630",3.08,3.63,
568,환인제약,"13,520",하락50,-0.37%,500,"2,515","18,600",11.40,"1,644",8.62,8.61,
569,RISE 200TR,"19,860",하락250,-1.24%,0,"2,512","12,650",0.00,"1,131",N/A,N/A,
570,휴스틸,"4,465",상승25,+0.56%,"1,000","2,509","56,188",1.46,"678,054",5.57,7.54,
571,RISE 비메모리반도체액티브,"10,875",하락410,-3.63%,0,"2,501","23,000",0.59,"48,971",N/A,N/A,
572,PLUS K방산,"17,900",하락75,-0.42%,0,"2,497","13,950",0.16,"71,851",N/A,N/A,
573,KODEX 26-12 회사채(AA-이상)액티브,"10,425",상승5,+0.05%,0,"2,485","23,840",0.00,"1,896",N/A,N/A,
574,흥국화재,"3,840",하락40,-1.03%,"5,000","2,467","64,243",1.64,"27,423",0.94,15.99,
575,HLB글로벌,"5,150",상승30,+0.59%,500,"2,446","47,490",3.47,"39,850",-19.00,-40.28,
576,KODEX 미국배당다우존스,"10,190",하락10,-0.10%,0,"2,446","24,000",0.00,"345,262",N/A,N/A,
577,DB,"1,215",상승21,+1.76%,500,"2,444","201,174",1.69,"472,334",13.81,5.96,
578,SK증권,516,하락1,-0.19%,500,"2,439","472,590",5.65,"108,167",-73.71,0.40,
579,KPX홀딩스,"57,300",상승300,+0.53%,"5,000","2,421","4,225",27.18,160,3.86,9.54,
580,이월드,"1,701",하락11,-0.64%,"1,000","2,412","141,806",0.70,"38,903",-19.78,-3.92,
581,포스코스틸리온,"40,100",상승50,+0.12%,"5,000","2,406","6,000",2.69,"2,380",7.68,7.07,
582,삼영무역,"13,020",하락20,-0.15%,500,"2,404","18,467",18.26,"3,223",4.18,10.38,
583,HJ중공업,"2,880",보합0,0.00%,"5,000","2,398","83,274",16.86,"7,760",-6.49,-31.41,
584,대동,"9,290",하락30,-0.32%,"1,000","2,382","25,641",3.78,"16,240","-1,327.14",4.41,
585,알루코,"2,460",하락35,-1.40%,500,"2,382","96,830",2.18,"65,563",10.56,7.19,
586,디앤디플랫폼리츠,"3,695",하락20,-0.54%,"1,000","2,380","64,400",1.40,"4,622",68.43,1.12,
587,KOSEF 인도Nifty50(합성),"25,440",하락110,-0.43%,0,"2,379","9,350",0.19,"15,184",N/A,N/A,
588,스카이라이프,"5,000",하락10,-0.20%,"2,500","2,376","47,523",6.26,449,-2.01,-12.83,
589,대한제분,"139,800","하락1,200",-0.85%,"5,000","2,363","1,690",8.97,149,2.68,8.50,
590,도화엔지니어링,"7,000",하락50,-0.71%,500,"2,360","33,720",0.99,"15,968",10.40,7.70,
591,RISE 수소경제테마,"9,025",하락65,-0.72%,0,"2,351","26,050",0.00,"2,033",N/A,N/A,
592,광주신세계,"29,500",하락50,-0.17%,"1,000","2,347","7,957",10.75,283,5.19,6.00,
593,코오롱ENP,"6,140",하락150,-2.38%,"1,000","2,333","38,000",1.38,"12,687",6.39,12.21,
594,KB 블룸버그 인버스2X 천연가스선물 ETN(H),"93,295","하락2,740",-2.85%,0,"2,332","2,500",0.00,28,N/A,N/A,
595,키움 CD금리투자 ETN,"101,335",보합0,0.00%,0,"2,331","2,300",0.00,0,N/A,N/A,
596,RISE ESG사회책임투자,"12,845",상승45,+0.35%,0,"2,325","18,100",0.01,"2,695",N/A,N/A,
597,KPX케미칼,"47,800",하락350,-0.73%,"5,000","2,314","4,840",19.23,715,3.60,10.63,
598,한솔제지,"9,720",하락40,-0.41%,"5,000","2,313","23,801",7.30,"4,996",13.54,0.24,
599,1Q 단기금융채액티브,"104,740",상승15,+0.01%,0,"2,290","2,186",0.07,"1,739",N/A,N/A,
600,일성아이에스,"17,130",하락90,-0.52%,"1,000","2,278","13,300",0.95,399,-6.27,-5.04,
601,제일약품,"15,490",하락40,-0.26%,500,"2,278","14,705",2.16,"2,256",-6.37,3.16,
602,대원전선,"3,030",하락90,-2.88%,500,"2,272","74,979",3.71,"754,954",30.00,10.02,
603,NH투자증권우,"11,970",상승40,+0.34%,"5,000","2,259","18,871",5.52,"6,959",7.02,N/A,
604,신대양제지,"5,590",하락10,-0.18%,500,"2,253","40,298",3.66,"1,218",5.13,8.41,
605,모나용평,"4,680",하락50,-1.06%,"5,000","2,253","48,133",2.35,"91,410",14.53,2.62,
606,동화약품,"8,060",하락20,-0.25%,"1,000","2,251","27,931",3.92,"15,095",16.18,7.45,
607,한국석유,"17,710",상승310,+1.78%,500,"2,248","12,694",1.10,"431,457",16.95,8.67,
608,진원생명과학,"2,800",하락100,-3.45%,"1,000","2,241","80,039",10.25,"413,737",-2.99,-53.09,
609,동국씨엠,"7,490",하락50,-0.66%,"5,000","2,239","29,899",23.93,"11,071",4.37,N/A,
610,KODEX 미국30년국채액티브(H),"10,260",하락20,-0.19%,0,"2,234","21,770",0.00,"406,628",N/A,N/A,
611,삼일제약,"10,430",상승140,+1.36%,500,"2,230","21,378",2.56,"108,118",-155.67,1.31,
612,넥스틸,"8,570",상승220,+2.63%,500,"2,228","26,002",0.09,"216,583",1.57,35.49,
613,KODEX 2차전지산업레버리지,"2,360",상승70,+3.06%,0,"2,214","93,800",0.59,"1,134,068",N/A,N/A,
614,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),"5,440",하락35,-0.64%,0,"2,202","40,480",0.47,"6,426",N/A,N/A,
615,TIMEFOLIO 글로벌AI인공지능액티브,"18,630",하락610,-3.17%,0,"2,187","11,740",0.07,"32,216",N/A,N/A,
616,토니모리,"9,090",하락110,-1.20%,200,"2,187","24,055",2.89,"78,996",32.58,3.95,
617,ACE 국고채10년,"91,210",상승15,+0.02%,0,"2,184","2,394",0.02,"1,022",N/A,N/A,
618,화승인더,"3,945",하락65,-1.62%,500,"2,182","55,320",8.59,"26,431",-27.21,-7.57,
619,주성코퍼레이션,"4,100",보합0,0.00%,500,"2,165","52,810",0.06,0,-341.67,-7.43,
620,SOL 200TR,"13,120",하락165,-1.24%,0,"2,165","16,500",0.00,"5,401",N/A,N/A,
621,교촌에프앤비,"8,650",상승40,+0.46%,500,"2,161","24,983",1.41,"4,945",30.03,7.85,
622,동성케미컬,"4,345",하락20,-0.46%,"1,000","2,159","49,690",2.83,"7,391",5.09,8.67,
623,HDC랩스,"8,310",하락70,-0.84%,500,"2,157","25,958",4.28,"2,271",18.34,5.07,
624,TIGER 미국필라델피아반도체레버리지(합성),"21,565","하락1,965",-8.35%,0,"2,141","9,930",0.14,"174,021",N/A,N/A,
625,하이트진로홀딩스,"9,210",하락10,-0.11%,"5,000","2,137","23,207",7.02,"6,677",7.77,0.17,
626,KSS해운,"9,250",상승50,+0.54%,500,"2,135","23,086",7.09,"7,029",7.27,4.12,
627,삼익THK,"10,160",하락130,-1.26%,500,"2,134","21,000",35.53,"7,226",-211.67,0.48,
628,신한서부티엔디리츠,"3,805",보합0,0.00%,"1,000","2,129","55,956",0.60,"2,240",26.61,2.02,
629,ACE 24-12 회사채(AA-이상)액티브,"105,435",상승20,+0.02%,0,"2,129","2,019",0.01,118,N/A,N/A,
630,조일알미늄,"1,681",하락11,-0.65%,500,"2,129","126,632",0.98,"44,729",26.68,-0.07,
631,이수화학,"9,350",상승50,+0.54%,"5,000","2,125","22,723",1.94,"81,648",-5.12,-13.50,
632,KEC,"1,058",하락30,-2.76%,500,"2,124","200,763",2.70,"97,103",-7.84,-11.80,
633,경동인베스트,"89,800","상승2,600",+2.98%,"5,000","2,124","2,365",2.32,"27,101",15.41,4.38,
634,TIGER 미국테크TOP10 INDXX(H),"12,930",하락315,-2.38%,0,"2,121","16,400",0.02,"40,192",N/A,N/A,
635,TIGER 화장품,"2,800",하락20,-0.71%,0,"2,118","75,660",0.10,"354,394",N/A,N/A,
636,현대비앤지스틸,"14,020",하락40,-0.28%,"5,000","2,114","15,079",4.07,"5,870",25.04,-5.93,
637,BYC,"33,750",상승600,+1.81%,500,"2,108","6,246",3.19,587,13.30,4.51,
638,웅진씽크빅,"1,820",하락19,-1.03%,500,"2,102","115,506",4.63,"14,428",-6.57,-9.30,
639,대덕,"6,200",하락20,-0.32%,500,"2,101","33,890",7.26,"1,407",14.06,2.11,
640,서흥,"18,130",상승10,+0.06%,500,"2,097","11,569",8.77,"4,197",117.73,1.45,
641,코람코더원리츠,"5,190",하락20,-0.38%,500,"2,097","40,400",0.43,"4,310",71.10,1.44,
642,LG헬로비전,"2,700",하락25,-0.92%,"2,500","2,091","77,447",2.34,"13,291",-3.50,-7.62,
643,RISE 25-03 회사채(AA-이상)액티브,"51,005",상승20,+0.04%,0,"2,070","4,058",0.00,71,N/A,N/A,
644,RISE KOFR금리액티브(합성),"101,210",상승5,0.00%,0,"2,070","2,045",0.00,406,N/A,N/A,
645,신한 인버스0.5X S&P500 VIX S/T선물 ETN,"34,490","하락1,300",-3.63%,0,"2,069","6,000",0.00,295,N/A,N/A,
646,한국제지,"1,081",하락6,-0.55%,"1,000","2,056","190,178",0.08,"11,536",-3.82,N/A,
647,하나제약,"11,530",하락60,-0.52%,500,"2,049","17,773",0.00,455,10.03,8.18,
648,TIGER 글로벌비만치료제TOP2Plus,"11,660",하락45,-0.38%,0,"2,046","17,550",1.91,"54,142",N/A,N/A,
649,RISE 2차전지액티브,"8,205",상승90,+1.11%,0,"2,036","24,820",0.16,"108,581",N/A,N/A,
650,AJ네트웍스,"4,495",하락35,-0.77%,"1,000","2,034","45,253",1.42,"19,638",9.73,4.22,
651,제이에스코퍼레이션,"15,180",하락20,-0.13%,100,"2,024","13,336",2.38,"6,594",2.64,16.16,
652,성신양회,"8,210",하락120,-1.44%,"5,000","2,013","24,516",6.32,"26,603",3.00,14.38,
653,DB금융투자,"4,700",상승25,+0.53%,"5,000","1,995","42,446",6.01,"10,775",25.97,0.65,
654,롯데하이마트,"8,410",상승20,+0.24%,"5,000","1,985","23,608",3.42,783,-5.29,-2.78,
655,한독,"14,400",보합0,0.00%,500,"1,982","13,764",3.17,"5,440",-5.92,-8.02,
656,금호석유우,"65,200",상승400,+0.62%,"5,000","1,971","3,023",17.70,"1,254",4.78,N/A,
657,조선내화,"16,580",하락100,-0.60%,500,"1,966","11,855",0.19,"1,573",6.31,N/A,
658,KODEX 미국나스닥100레버리지(합성 H),"10,385",하락425,-3.93%,0,"1,963","18,900",0.41,"109,856",N/A,N/A,
659,만호제강,"47,150",보합0,0.00%,"1,000","1,957","4,150",0.94,0,-6.60,3.54,
660,콘텐트리중앙,"10,150",하락70,-0.68%,"5,000","1,955","19,262",0.61,"9,634",-1.67,-129.35,
661,동양,818,하락7,-0.85%,500,"1,952","238,684",4.22,"16,675",81.80,2.32,
662,에이프로젠바이오로직스,984,하락11,-1.11%,500,"1,952","198,408",0.65,"568,755",-0.66,-29.75,
663,한양증권,"15,310",상승170,+1.12%,"5,000","1,949","12,729",11.53,"37,523",5.39,7.40,
664,TIGER 투자등급회사채액티브,"112,440",상승5,0.00%,0,"1,937","1,723",0.01,325,N/A,N/A,
665,코오롱글로벌,"10,190",하락240,-2.30%,"5,000","1,929","18,933",0.23,"85,213",-2.85,0.05,
666,미원홀딩스,"82,900",상승500,+0.61%,500,"1,923","2,320",0.17,53,7.57,5.82,
667,코오롱,"15,200",하락150,-0.98%,"5,000","1,919","12,626",7.08,950,0.90,0.79,
668,다올투자증권,"3,150",상승10,+0.32%,"5,000","1,919","60,911",5.64,"3,226",-4.63,-1.66,
669,삼성전기우,"65,900",하락400,-0.60%,"5,000","1,916","2,907",14.48,"1,783",9.22,N/A,
670,일신방직,"8,200",하락20,-0.24%,500,"1,909","23,280",7.87,645,6.48,0.90,
671,SOL 미국30년국채커버드콜(합성),"10,040",하락25,-0.25%,0,"1,903","18,950",0.03,"56,574",N/A,N/A,
672,유한양행우,"161,000","상승13,000",+8.78%,"1,000","1,901","1,181",0.00,"21,680",87.40,N/A,
673,티와이홀딩스,"3,770",하락65,-1.69%,500,"1,901","50,429",1.43,"9,629",-0.21,-76.50,
674,TIGER 미국나스닥100TR(H),"15,570",하락320,-2.01%,0,"1,900","12,200",0.08,"43,145",N/A,N/A,
675,무림P&P,"3,035",하락40,-1.30%,"2,500","1,893","62,368",1.39,"32,514",-13.03,-3.45,
676,일진홀딩스,"3,835",하락45,-1.16%,"1,000","1,892","49,347",3.24,"13,919",5.86,6.21,
677,일진다이아,"13,270",상승30,+0.23%,"1,000","1,885","14,203",1.90,"3,277",18.77,2.48,
678,에이블씨엔씨,"7,190",하락150,-2.04%,500,"1,870","26,014",10.92,"32,762",20.31,6.05,
679,삼화페인트,"6,870",보합0,0.00%,500,"1,869","27,203",6.94,"37,455",9.40,5.33,
680,CJ제일제당 우,"139,500","하락1,900",-1.34%,"5,000","1,852","1,327",32.68,"1,711",4.54,N/A,
681,대교,"2,185",상승5,+0.23%,500,"1,851","84,703",1.67,925,-3.16,-26.64,
682,동아지질,"13,170",하락140,-1.05%,500,"1,851","14,053",4.77,"4,802",18.71,4.54,
683,HANARO MSCI Korea TR,"15,435",하락230,-1.47%,0,"1,837","11,900",0.00,8,N/A,N/A,
684,STX,"5,920",하락90,-1.50%,"2,500","1,836","31,018",0.45,"28,949",-3.28,-73.98,
685,HANARO Fn K-반도체,"10,605",하락405,-3.68%,0,"1,835","17,300",0.03,"60,165",N/A,N/A,
686,JW생명과학,"11,560",하락10,-0.09%,"2,500","1,830","15,835",3.62,"2,835",6.88,18.78,
687,서연,"7,780",하락110,-1.39%,500,"1,827","23,480",4.10,"26,877",1.49,19.09,
688,KODEX 테슬라인컴프리미엄채권혼합액티브,"9,185",하락40,-0.43%,0,"1,823","19,850",0.00,"68,380",N/A,N/A,
689,TIGER 인도빌리언컨슈머,"10,830",하락65,-0.60%,0,"1,819","16,800",0.05,"7,116",N/A,N/A,
690,한세예스24홀딩스,"4,545",하락35,-0.76%,500,"1,818","40,000",1.56,"1,862",3.75,12.30,
691,남선알미늄,"1,408",하락13,-0.91%,500,"1,817","129,079",4.28,"51,619",67.05,-0.09,
692,AK홀딩스,"13,610",상승50,+0.37%,"5,000","1,803","13,248",5.69,404,58.92,6.17,
693,LG우,"59,600",상승100,+0.17%,"5,000","1,801","3,022",47.25,423,9.49,N/A,
694,TIGER 27-04회사채(A+이상)액티브,"51,200",상승5,+0.01%,0,"1,800","3,516",0.00,813,N/A,N/A,
695,노루페인트,"8,980",하락60,-0.66%,500,"1,796","20,000",8.14,"14,241",6.08,7.67,
696,경농,"9,190",하락40,-0.43%,500,"1,794","19,523",0.59,"4,613",9.16,7.98,
697,동아타이어,"13,060",하락20,-0.15%,500,"1,794","13,733",1.97,"6,189",16.41,2.54,
698,YG PLUS,"2,820",하락30,-1.05%,500,"1,789","63,429",1.74,"31,767",27.65,14.12,
699,경보제약,"7,440",보합0,0.00%,500,"1,779","23,907",1.63,0,38.55,2.07,
700,진양홀딩스,"3,170",상승5,+0.16%,500,"1,772","55,895",1.38,731,22.97,10.42,
701,TIGER 미국S&P500선물(H),"60,905",하락645,-1.05%,0,"1,766","2,900",0.00,"1,105",N/A,N/A,
702,삼영전자,"8,830",하락100,-1.12%,500,"1,766","20,000",36.44,"8,601",14.72,2.63,
703,현대리바트,"8,570",하락40,-0.46%,"1,000","1,760","20,535",4.42,"49,500",-9.33,-8.12,
704,삼성 레버리지 천연가스 선물 ETN C,"3,515",상승100,+2.93%,0,"1,758","50,000",0.03,"539,118",N/A,N/A,
705,한투 레버리지 S&P500 선물 ETN(H),"35,075",하락770,-2.15%,0,"1,754","5,000",0.00,23,N/A,N/A,
706,한미글로벌,"15,930",상승570,+3.71%,500,"1,746","10,958",4.29,"214,998",14.02,7.88,
707,S-Oil우,"43,350",하락50,-0.12%,"2,500","1,744","4,022",10.36,578,5.94,N/A,
708,SOL 미국배당다우존스(H),"11,390",보합0,0.00%,0,"1,743","15,300",0.01,"13,604",N/A,N/A,
709,TIGER 글로벌온디바이스AI,"9,440",하락260,-2.68%,0,"1,742","18,450",0.07,"12,024",N/A,N/A,
710,NPC,"4,740",상승15,+0.32%,500,"1,741","36,720",1.14,"18,536",11.53,7.54,
711,노루홀딩스,"13,050",하락170,-1.29%,500,"1,734","13,291",4.34,"5,297",4.66,6.31,
712,한투 블룸버그 인버스 2X 천연가스선물 ETN,"86,705","하락3,600",-3.99%,0,"1,734","2,000",0.00,"5,985",N/A,N/A,
713,선진,"7,240",보합0,0.00%,500,"1,722","23,780",12.82,"7,092",14.06,3.26,
714,KODEX TRF3070,"12,845",하락10,-0.08%,0,"1,721","13,400",0.01,"4,461",N/A,N/A,
715,미원화학,"78,200","하락1,000",-1.26%,"1,000","1,720","2,199",0.33,5,6.66,15.74,
716,경방,"6,260",상승40,+0.64%,500,"1,716","27,415",0.85,890,62.60,-1.80,
717,효성화학,"45,250",하락700,-1.52%,"5,000","1,716","3,792",2.97,883,-0.57,-393.10,
718,무학,"6,020",하락100,-1.63%,200,"1,716","28,500",1.85,"41,545",3.59,12.83,
719,ACE CD금리&초단기채권액티브,"100,595",상승15,+0.01%,0,"1,707","1,697",0.00,"3,884",N/A,N/A,
720,HS효성,"45,300","하락1,200",-2.58%,"5,000","1,688","3,726",4.48,"9,531",N/A,N/A,
721,강남제비스코,"25,950",하락100,-0.38%,"1,000","1,687","6,500",6.55,"1,809",8.55,2.73,
722,종근당바이오,"30,700",하락850,-2.69%,"2,500","1,684","5,486",1.75,"13,663",-23.08,-17.87,
